# дата	версия	файлов	байт	sha256
2026-08-25	1.2.0	24	25657	3d284ff9556e543ffb1a2af4a36c2a4265fc165dadcb8b7d38afa544365130f4
2026-08-28	1.2.2	26	28063	c75a2b4e08f9dc899206222f1f2de78b4a6de4d3fcf0b28c4cbd7d2e734d1557
2026-08-28	1.2.3	26	28459	a1f0356d52d4aa39e5b08b48f547d8d06ed5b2924c4a556f15f25f50304b9411
2026-08-28	1.2.4	26	28537	319ed0e902cc3367158121c8e59880826046396bc01c3021956c2a934e7a4f18
2026-08-29	1.2.5	28	31430	8b2ebb84f912d14bb1b7849d27a8d982b830222e7e5c6faf6e7dd86080beef06
